null null null Adult tickets for a show cost [a] dollars while children 's tickets cost [b] dollars . If there were twice as many adults as children and the total receipts for the show were [c] dollars . How many adults were at the show ? null null null	([a]*VAR_0)+([b]*VAR_1)=[c],VAR_0=2.0*VAR_1	{'[a]': '5.5', '[b]': '2.5', '[c]': '1026.0'}	[152.0]
null null null The total number of Democrats and Republicans in the House of Representatives was [a] . There were [b] more Republicans then Democrats . How many Democrats and Republicans were there in the Senate ? null null null	VAR_0+VAR_1=[a],VAR_0=VAR_1-[b]	{'[a]': '434.0', '[b]': '30.0'}	[202.0,232.0]
null null null Find a number such that [a] more than [b] the number is [c] the number. null null null	[a]+[b]*VAR_0=[c]*VAR_0	{'[a]': '1.0', '[b]': '0.6667', '[c]': '0.75'}	[12.0]
null null null A 177-inch pipe is cut into two pieces . One piece is two times the length of the other . Find the lengths of the two pieces. null null null	VAR_0+VAR_1=177.0,VAR_0=2.0*VAR_1	{}	[59.0,118.0]
null null null Jack collects baseball and football cards . He has [a] cards total . The number of baseball cards he has is five more than three times the number of football cards . How many baseball and football cards does he have ? null null null	VAR_0+VAR_1=[a],VAR_0=5.0+(3.0*VAR_1)	{'[a]': '125.0'}	[95.0,30.0]
null null null Your cell phone company offers two text-messaging plans . Plan A costs [a] dollars per text message , plus a monthly fee of [b] dollars . The other plan costs [c] dollars per text message with no monthly fee . For how many text messages will both plans cost the same amount ? null null null	[b]+([a]*VAR_0)=[c]*VAR_0	{'[a]': '0.25', '[b]': '9.0', '[c]': '0.4'}	[60.0]
null null null A self-employed contractor nearing retirement made two investments totaling [a] dollars . In one year , these investments yielded [b] dollars in simple interest . Part of the money was invested at [c] % and the rest at [d] % . How much was invested at each rate ? null null null	[d]*0.01*VAR_0+[c]*0.01*VAR_1=[b],VAR_0+VAR_1=[a]	{'[a]': '15000.0', '[b]': '1023.0', '[c]': '6.0', '[d]': '7.5'}	[8200.0,6800.0]
null null null Steve invests in a circus production . The coast includes an overhead of [a] dollars , plus production costs of [b] dollars per performance . A sold-out performance brings in [c] dollars , Determine the number of sold-out performances , x , needed to break even . null null null	[a]+([b]*VAR_0)=[c]*VAR_0	{'[a]': '81000.0', '[b]': '7000.0', '[c]': '16000.0'}	[9.0]
null null null One number is [a] more than [b] times another number . Their sum is [c] . Find the smaller number. null null null	VAR_0=([b]*VAR_1)+[a],VAR_1+VAR_0=[c]	{'[a]': '11.0', '[b]': '3.0', '[c]': '55.0'}	[11.0]
null null null Lisa invested [a] dollars , part at [b] % and the rest at [c] % per year . How much did she invest at [b] % and [c] % if her total return per year on the investments was [d] dollars ? null null null	(([b]*0.01)*VAR_1)+(([c]*0.01)*VAR_0)=[d],VAR_1+VAR_0=[a]	{'[a]': '8000.0', '[b]': '4.0', '[c]': '5.0', '[d]': '380.0'}	[2000.0,6000.0]
null null null An art dealer sold [a] etchings for [b] dollars . He sold some of them at [c] dollars each and the rest at [d] dollars each . How many etchings did he sell at [c] dollars ? How many etchings did he sell at [d] dollars ? null null null	([c]*VAR_1)+([d]*VAR_0)=[b],VAR_1+VAR_0=[a]	{'[a]': '16.0', '[b]': '630.0', '[c]': '35.0', '[d]': '45.0'}	[9.0,7.0]
null null null A plane flying with a tail wind flew at a speed of [a] miles per hour , relative to the ground . When flying against the tailwind , it flew at a speed of [b] miles per hour . Find the speed of the tailwind . null null null	VAR_0+VAR_1=[a],VAR_0-VAR_1=[b]	{'[a]': '460.0', '[b]': '310.0'}	[75.0]
null null null At Al 's Rent-a-Center , it costs [a] dollars more per month to rent a leather couch than it does to rent a microfiber couch . Pauline rented a leather couch for [b] months and then exchanged it for a microfiber couch , which she rented for [c] months . She paid a total of [d] dollars to rent these couches . Solve this system of equations to find the monthly rental charge for the leather couch , in dollars . Find the monthly rental charge for the microfiber couch . null null null	([b]*VAR_0)+([c]*VAR_1)=[d],VAR_0=[a]+VAR_1	{'[a]': '30.0', '[b]': '8.0', '[c]': '12.0', '[d]': '1620.0'}	[99.0,69.0]
null null null One integer is twice another , and their sum is [a] . Find the smaller and larger integer . null null null	2.0*VAR_1=VAR_0,VAR_1+VAR_0=[a]	{'[a]': '96.0'}	[32.0,64.0]
null null null Your teacher is giving a test worth [a] points . There is a total of [b] 5-point and 10-point questions . How many 5-point questions are on the test ? null null null	(5.0*VAR_0)+(10.0*VAR_1)=[a],VAR_0+VAR_1=[b]	{'[a]': '200.0', '[b]': '30.0'}	[20.0]
